Date,State,Total_Storage_BCM,Total_Capacity_BCM,Percent_Full
2023-09-01,Karnataka,30.0,39.09,76.74
2023-10-01,Karnataka,30.08,39.09,76.94
2023-11-01,Karnataka,29.75,39.09,76.1
2023-12-01,Karnataka,28.65,39.09,73.29
2024-01-01,Karnataka,28.16,39.09,72.04
2024-02-01,Karnataka,27.23,39.09,69.66
2024-03-01,Karnataka,26.03,39.09,66.59
2024-04-01,Karnataka,24.91,39.09,63.73
2024-05-01,Karnataka,24.18,39.09,61.87
2024-06-01,Karnataka,25.69,39.09,65.73
2024-07-01,Karnataka,27.29,39.09,69.8
2024-08-01,Karnataka,29.3,39.09,74.95
2024-09-01,Karnataka,30.69,39.09,78.52
2024-10-01,Karnataka,30.02,39.09,76.78
2024-11-01,Karnataka,29.77,39.09,76.16
2024-12-01,Karnataka,28.65,39.09,73.3
2023-01-01,Rajasthan,15.8,27.78,56.88
2023-02-01,Rajasthan,15.11,27.78,54.37
2023-03-01,Rajasthan,14.1,27.78,50.74
2023-04-01,Rajasthan,12.9,27.78,46.43
2023-05-01,Rajasthan,11.66,27.78,41.98
2023-06-01,Rajasthan,12.97,27.78,46.67
2023-07-01,Rajasthan,14.82,27.78,53.33
2023-08-01,Rajasthan,17.01,27.78,61.24
2023-09-01,Rajasthan,17.45,27.78,62.79
2023-10-01,Rajasthan,17.77,27.78,63.95
2023-11-01,Rajasthan,17.59,27.78,63.33
2023-12-01,Rajasthan,16.7,27.78,60.11
2024-01-01,Rajasthan,16.02,27.78,57.66
2024-02-01,Rajasthan,15.13,27.78,54.46
2024-03-01,Rajasthan,15.07,27.78,54.25
2024-04-01,Rajasthan,14.73,27.78,53.02
2024-05-01,Rajasthan,13.69,27.78,49.28
2024-06-01,Rajasthan,15.39,27.78,55.38
2024-07-01,Rajasthan,16.81,27.78,60.49
2024-08-01,Rajasthan,18.74,27.78,67.45
2024-09-01,Rajasthan,20.41,27.78,73.48
2024-10-01,Rajasthan,20.37,27.78,73.33
2024-11-01,Rajasthan,20.1,27.78,72.34
2024-12-01,Rajasthan,19.7,27.78,70.91
